127.0.0.1 - - [27/May/2018:20:22:44 +0900] "GET / HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [27/May/2018:20:22:45 +0900] "GET / HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [27/May/2018:20:22:51 +0900] "GET /shoppingmall/ShoppingMall HTTP/1.1" 200 15268
0:0:0:0:0:0:0:1 - - [27/May/2018:20:22:51 +0900] "GET /resources/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2018:20:22:51 +0900] "GET /resources/bootstrap/css/fontello.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2018:20:22:51 +0900] "GET /resources/bootstrap/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2018:20:22:51 +0900] "GET /resources/bootstrap/css/rcCustom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2018:20:22:51 +0900] "GET /resources/bootstrap/js/popper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2018:20:22:51 +0900] "GET /resources/shoppingmall/SpmStyle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2018:20:22:51 +0900] "GET /spmImgs/stylenanda.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/May/2018:20:22:51 +0900] "GET /spmImgs/imvely.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/May/2018:20:22:51 +0900] "GET /resources/shoppingmall/search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2018:20:22:51 +0900] "GET /resources/shoppingmall/filter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2018:20:22:52 +0900] "GET /resources/bootstrap/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2018:20:22:52 +0900] "GET /spmImgs/stylenanda.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/May/2018:20:22:52 +0900] "GET /spmImgs/imvely.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/May/2018:20:22:52 +0900] "GET /resources/bootstrap/font/fontello.woff2?36273193 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2018:20:24:49 +0900] "GET /resources/bootstrap/js/popper.min.js.map HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/May/2018:20:24:49 +0900] "GET /resources/bootstrap/js/bootstrap.min.js.map HTTP/1.1" 200 176602
0:0:0:0:0:0:0:1 - - [27/May/2018:20:24:49 +0900] "GET /resources/bootstrap/css/bootstrap.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2018:20:24:49 +0900] "GET /resources/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 557893
