0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:14:34 +0900] "GET /chatbot/input HTTP/1.1" 400 1107
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:19:10 +0900] "GET /chatbot HTTP/1.1" 200 3075
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:19:10 +0900] "GET /resources/YJH/bootstrap/css/bootstrap.css HTTP/1.1" 200 172839
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:19:10 +0900] "GET /resources/YJH/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140421
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:19:10 +0900] "GET /resources/YJH/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 50676
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:19:10 +0900] "GET /resources/YJH/bootstrap/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:19:10 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:19:13 +0900] "GET /chatbot/input?{%22input%22:%22%EC%8A%A4%ED%83%80%EC%9D%BC%22} HTTP/1.1" 400 1107
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:19:14 +0900] "GET /chatbot/input?{%22input%22:%22%EC%8A%A4%ED%83%80%EC%9D%BC%22} HTTP/1.1" 400 1107
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:19:15 +0900] "GET /chatbot/input?{%22input%22:%22%EC%8A%A4%ED%83%80%EC%9D%BC%22} HTTP/1.1" 400 1107
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:19:24 +0900] "GET /chatbot HTTP/1.1" 200 3076
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:19:24 +0900] "GET /resources/YJH/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 50676
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:19:24 +0900] "GET /resources/YJH/bootstrap/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:19:24 +0900] "GET /resources/YJH/bootstrap/css/bootstrap.css HTTP/1.1" 200 172839
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:19:24 +0900] "GET /resources/YJH/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140421
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:19:24 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:19:26 +0900] "POST /chatbot/input HTTP/1.1" 405 1090
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:19:27 +0900] "POST /chatbot/input HTTP/1.1" 405 1090
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:20:17 +0900] "GET /chatbot HTTP/1.1" 200 3137
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:20:17 +0900] "GET /resources/YJH/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 50676
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:20:17 +0900] "GET /resources/YJH/bootstrap/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:20:17 +0900] "GET /resources/YJH/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140421
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:20:17 +0900] "GET /resources/YJH/bootstrap/css/bootstrap.css HTTP/1.1" 200 172839
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:20:17 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:20:36 +0900] "GET /chatbot HTTP/1.1" 200 3138
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:20:36 +0900] "GET /resources/YJH/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 50676
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:20:36 +0900] "GET /resources/YJH/bootstrap/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:20:36 +0900] "GET /resources/YJH/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140421
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:20:36 +0900] "GET /resources/YJH/bootstrap/css/bootstrap.css HTTP/1.1" 200 172839
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:20:36 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:20:38 +0900] "GET /chatbot/input?{%22input%22:%22%EB%A6%AC%22} HTTP/1.1" 400 1107
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:25:32 +0900] "GET /chatbot HTTP/1.1" 200 3140
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:25:32 +0900] "GET /resources/YJH/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140421
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:25:32 +0900] "GET /resources/YJH/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 50676
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:25:32 +0900] "GET /resources/YJH/bootstrap/css/bootstrap.css HTTP/1.1" 200 172839
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:25:32 +0900] "GET /resources/YJH/bootstrap/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:25:32 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:00:25:34 +0900] "POST /chatbot/input HTTP/1.1" 405 1090
127.0.0.1 - - [07/Jun/2018:09:26:37 +0900] "GET / HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [07/Jun/2018:09:26:37 +0900] "GET / HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [07/Jun/2018:09:26:38 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:09:26:50 +0900] "GET /chatbot HTTP/1.1" 200 3138
0:0:0:0:0:0:0:1 - - [07/Jun/2018:09:26:51 +0900] "GET /resources/YJH/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 50676
0:0:0:0:0:0:0:1 - - [07/Jun/2018:09:26:53 +0900] "GET /chatbot/input?{%22input%22:%22%EC%8A%A4%ED%83%80%EC%9D%BC%22} HTTP/1.1" 400 1107
0:0:0:0:0:0:0:1 - - [07/Jun/2018:09:27:00 +0900] "GET /resources/YJH/bootstrap/js/bootstrap.min.js.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:09:27:00 +0900] "GET /resources/YJH/bootstrap/css/bootstrap.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:09:27:00 +0900] "GET /resources/YJH/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:09:45:30 +0900] "GET /chatbot HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [07/Jun/2018:09:45:30 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:09:45:37 +0900] "GET /chatbot HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:11:12 +0900] "GET /shoppingmall/ShoppingMall HTTP/1.1" 200 19192
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:11:15 +0900] "GET /spmDetail/1785 HTTP/1.1" 200 15693
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:11:15 +0900] "GET /resources/bootstrap/css/bootstrap.css HTTP/1.1" 200 172839
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:11:15 +0900] "GET /resources/bootstrap/js/bootstrap.js HTTP/1.1" 200 122441
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:11:15 +0900] "GET /resources/MH/images/likeX.png HTTP/1.1" 200 789
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:12:05 +0900] "POST /spmBm HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:12:06 +0900] "GET /resources/MH/images/likeO.png HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:12:10 +0900] "GET /spmDetail/1785 HTTP/1.1" 200 15693
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:12:49 +0900] "GET /spmDetail/1785 HTTP/1.1" 200 15693
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:12:49 +0900] "GET /resources/bootstrap/css/bootstrap.css HTTP/1.1" 200 172839
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:12:49 +0900] "GET /resources/bootstrap/js/bootstrap.js HTTP/1.1" 200 122441
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:12:50 +0900] "GET /resources/MH/images/likeO.png HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:12:50 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:13:09 +0900] "GET /bookmark/bookmarklist HTTP/1.1" 200 8019
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:13:09 +0900] "GET /resources/MH/images/delete.png HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:13:52 +0900] "GET /spmDetail/Spmdetail.do?spmEnrollNo=9 HTTP/1.1" 400 1011
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:13:59 +0900] "GET /spmDetail/1785 HTTP/1.1" 200 15693
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:14:00 +0900] "GET /spmBm/get/1785 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:14:01 +0900] "DELETE /spmBm/6 HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:17:20 +0900] "GET /chatbot HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:18:40 +0900] "GET /chatbot HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:18:40 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:18:41 +0900] "GET /chatbot HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:18:41 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:18:41 +0900] "GET /chatbot HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:18:41 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:18:41 +0900] "GET /chatbot HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:18:41 +0900] "GET /favicon.ico HTTP/1.1" 404 992
